,User,Date,Tweets
0,gizmodo,2019-10-29 23:34:16,Samsungs second foldable is a flip phone with a nextgen design 
1,gizmodo,2019-10-29 22:51:19,Samsung brings big bright QLED displays to laptops for the first time 
4,gizmodo,2019-10-28 20:24:04,Samsungs space selfie satellite plummets from sky onto Michigan horse farm 
6,gizmodo,2019-10-26 18:03:01,One month with the Samsung Galaxy Fold Folding is believing
7,gizmodo,2019-10-26 15:01:07,A month with the improved Samsung Galaxy Fold and I actually still like it 
8,gizmodo,2019-10-18 17:21:58,A bug lets any fingerprint unlock the Galaxy S10 and Note 10 and Samsung blames phone covers 
10,gizmodo,2019-10-17 17:07:15,Samsung Galaxy Tab S6 review The last of a dying breed  
11,gizmodo,2019-10-04 15:34:56,This Samsung Galaxy Fold stunt filled me with hope and joy  
12,gizmodo,2019-09-27 16:38:58,Samsung had to fix one thing with the Galaxy Watch Active2 
14,gizmodo,2019-09-23 15:57:17,The Samsung Galaxy Fold finally goes on sale this week again 
16,gizmodo,2019-09-15 19:33:06,All the phone companies not named Apple and Samsung that you should care about 
17,gizmodo,2019-09-13 17:27:47,Samsung just released a smaller version of its famouslyhuge phone the Galaxy Note 10 Here are the differences be 
20,gizmodo,2019-09-05 18:10:34,Can you spot the upgrades on the new Samsung Galaxy Fold  
22,gizmodo,2019-09-05 02:46:19,Samsung Galaxy Fold to launch in Korea on Sept 6 no official US release date listed yet  
23,gizmodo,2019-09-03 18:22:31,Samsung is supposedly working on a much cooler folding phone  
25,gizmodo,2019-08-29 20:06:10,Samsungs first Bixby speaker still isnt out but now theres a mini version 
27,gizmodo,2019-08-22 00:29:42,Samsung probably got a lot of wedgies in high school 
29,gizmodo,2019-10-26 21:50:55,One month with the improved Galaxy Fold and I actually still like it  
36,gizmodo,2019-10-12 01:26:28,Hubble sees our galaxy sucking up a mysterious amount of gas  
44,gizmodo,2019-09-12 16:50:50,Galaxy Note 10 Review A smaller Note makes for better handling 
49,gizmodo,2019-08-26 00:29:49,Galaxy Note 10 alternate internets and Bernies climate plan best Gizmodo stories of the week 
50,gizmodo,2019-08-25 16:35:03,The Galaxy Note 10 is damn near perfect 
51,gizmodo,2019-08-24 19:46:56,Should you buy the Galaxy Note 10  
86,gizmodo,2019-10-15 23:18:15,Googles budget Chromebook might walk the fine line between high design and great value  
87,gizmodo,2019-10-15 20:57:55,Could the Pixelbook Go be the best Chromebook of the year  
88,gizmodo,2019-10-15 14:55:43,The Pixelbook Go is a smaller cheaper Googlemade Chromebook  
89,gizmodo,2019-10-15 14:04:14,New Pixel phones buds Chromebook Nest products and Stadia pics flashed up on screen No watch madebygoogle 
