,0,neg,neu,pos
0,['Tweets']------------------------------,0.0,1.0,0.0
1,['0']-----------------------------------,0.0,1.0,0.0
2,['the final laps if you will Ha What if you pumped a trade war headline and nobody was around to believe it spy dji esf 20190429 23590100000'],0.129,0.792,0.079
3,['  PlannedParenthood selects a Chinese to lead their organization in the middle of trade war with China In Canada we also have a like minded feminist who brags about taking the abortion position to the voters Election is in Oct Shell be gone then20190429 23572500000'],0.082,0.865,0.053
4,['Making America great again Trump MAGA farmers TradeWar resist 23534200000'],0.0,0.687,0.313
5,['US Farmer Income Drops Most Since 2016 as Trade War Losses Mount In first quarter producers income declines 118 billion Personal income for farmers fell by the most in three years in the first quarter  pictwittercom5APDg5g0qx20190429 23525700000'],0.159,0.841,0.0
6,['If anyone should have some dough socked away for a trade war its 3M20190429 23515200000'],0.231,0.769,0.0
7,['U S Cut All Tie with China China Cut All Trade with U S Fucking STUPID USELESS Sucker D Trump of U S  Why talk Trade War will China Why  Why  Fucking STUPID USELESS Sucker D Trump of U S  23512800000'],0.581,0.419,0.0
8,[' US investors confidently pouring money into China despite trade war   scmpnews20190429 23512500000'],0.0,0.638,0.362
9,['US farmer income plummets 118 billion as Trump trade war drags on Farmers not to worrythe rest of us will pick up the tab as the GOP buys their vote and calls it subsidies  2350460000149'],0.145,0.855,0.0
10,['US Farmer Income Drops Most Since 2016 as Trade War Losses Mount  20190429 23484800000'],0.355,0.645,0.0
11,['Trumps TradeWar is causing Extinction of Wisconsins Dairy Farmers  US4FarmerFamily  USChamber  AC360  robreiner  paulkrugman  RandPaul AlternativeFacts 20190429 23483400000'],0.0,1.0,0.0
12,['GOP destroys America US farmer income plummets 118 billion as Trump trade war drags on  20190429 23473500000'],0.397,0.603,0.0
13,[' 3M shows scars from Trumps harmful trade war  23470000002'],0.302,0.698,0.0
14,['Farmer Income Drops Most Since 2016 as Trade War Losses Mount    20190429 23462900001'],0.375,0.625,0.0
15,['Seneca County farmers are feeling the pain from Trumps trade war via Bloomberg  23454800000'],0.365,0.558,0.076
16,['If youre looking at the short term sure But if youre looking at the longer term which the GOP never does btw then Trump is devastating every American citizen with his horrendous policies on climate change and the trade war America is gonna go broke real fast thanks to Trump20190429 23444700000'],0.286,0.636,0.078
17,['US farmer income plummets 118 billion as Trump trade war drags on  20190429 23440500000'],0.318,0.682,0.0
18,['US farmer income plummets 118 billion as Trump trade war drags on  20190429 23431100000'],0.318,0.682,0.0
19,['US Farmer Income Drops Most Since 2016 as Trade War Losses Mount  20190429 23430900000'],0.355,0.645,0.0
20,['US Farmer Income Drops Most Since 2016 as Trade War Losses Mount Personal income for farmers fell by the most in three years in the first quarter as losses to US agriculture mount from President Donald Trumps trade wars  20190429 23415300000'],0.259,0.741,0.0
21,['I joined MelissaAFrancis on AftertheBell today to share my PoV on US trade  tariffs and key findings from my time spent W our alvarezmarsal Global TransactionAdvisory Group in Asia Thanks for hosting another thoughtprovoking discussion FoxBusiness BTS TradeWar pictwittercomdPuqBCzOpH20190429 23414800001'],0.0,0.879,0.121
22,['US Farmer Income Drops Most Since 2016 as Trump Trade War Losses Mount  20190429 23413700002'],0.337,0.663,0.0
23,['Personal income for US farmers fall by the most in three years as Trumps trade war losses mount   via bpolitics20190429 23411200000'],0.258,0.742,0.0
24,['US farmer income plummets 118 billion as Trump trade war drags on  234040000016'],0.337,0.663,0.0
25,['paulkrugman Mr Krugman how do we have a record GDP first quarter with a smaller trade deficit when one of the months saw poor job growth and farmers are selling zero prduce to China due to trade war  20190429 23403300000'],0.21,0.734,0.056
26,['US farmer income plummets 118 billion as Trump trade war drags on  Axios  20190429 23391100001'],0.301,0.699,0.0
27,['And Snowflake Trudope wont take action on Chinese trade war against Canada Why not ban Huawei 5G and slap some tariffs on Chinese imports for good measure No backbone  20190429 23384900000'],0.154,0.658,0.188
28,['US Farmer Income Drops Most Since 2016 as Trade War Losses Mount  pictwittercomj37m7lTwUh20190429 233832000022'],0.355,0.645,0.0
29,['Trudeau started Trumps trade war with China Is this Admiral Scheer copying Trumps daily lie20190429 23375900000'],0.19,0.682,0.128
30,['US farmer income plummets 118 billion as Trump trade war drags on WINTER IS COMMING  20190429 23370600000'],0.272,0.728,0.0
31,['supportfarmers buylocal familyfarms educateyourself Personal income for US farmers fall by the most in three years as Trumps trade war losses mount   via bpolitics20190429 23354800000'],0.223,0.777,0.0
32,['I think if Trump policies and trade war etc bankrupt that state bankrupt his supporters they would still support him and place the blame on someone or something else and that is exactly what Trump doesblames someone else20190429 23354600003'],0.259,0.633,0.107
33,['US farmer income plummets 118 billion as Trump trade war drags on  20190429 23335900000'],0.318,0.682,0.0
34,['We know you lover our farmers and what a way to so it realDonaldTrump US farmer income plummets 118 billion as Trump trade war drags on  23321000000'],0.173,0.71,0.117
35,['Hi just a reminder that there are no winners in a trade war20190429 23312000000'],0.144,0.654,0.203
36,['US farmer income plummets 118 billion as Trump trade war drags on  20190429 23310700000'],0.318,0.682,0.0
37,['I have heard that even farmers who lose their farms in the trade war will still sing Trumps praises I hope I heard wrong20190429 23305900000'],0.207,0.596,0.197
