,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['Samsung Showcases Foldable Phone Concept With Clamshell Design'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Pixel 4 XL Teardown Reveals Samsung Display Almost Decent Repairability Score'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['Samsung One UI Beta for Android 10 Arrives Today in US on Galaxy S10 Line'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['Samsung confirms Unlocked ATampT and TMobile Galaxy S10 S10 and S10e models will have first dibs at the Android '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['Samsung Confirms One UI 20 Coming Soon to Galaxy S10 Lineup'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['Lets unbox Samsungs 1980 Galaxy Fold galaxyfold '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['Report Samsung Launching Android 10 Beta Next Month'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['Samsungs Galaxy Fold is Back Available for Purchase This Month galaxyfold '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['Discord Integration Arrives for Samsungs Game Launcher App'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['Samsung still offering 600 off Galaxy Note 10 purchases with eligible tradeins '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['Windows and Mac apps for Samsungs DeX arrive '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['If you own a Samsung Galaxy phone on Verizon youre likely getting the August patch right now'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,['Windows and Mac Apps for Samsungs DeX are Live '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,['Video Appears to Show Off Samsungs One UI 20 Running Atop Android 10'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
