,0,neg,neu,pos
0,['Samsungs second foldable is a flip phone with a nextgen design '],0,1,0
1,['Samsung brings big bright QLED displays to laptops for the first time '],0,0.805,0.195
2,['Samsungs space selfie satellite plummets from sky onto Michigan horse farm '],0,1,0
3,['One month with the Samsung Galaxy Fold Folding is believing'],0,1,0
4,['A month with the improved Samsung Galaxy Fold and I actually still like it '],0,0.682,0.318
5,['A bug lets any fingerprint unlock the Galaxy S10 and Note 10 and Samsung blames phone covers '],0.137,0.863,0
6,['Samsung Galaxy Tab S6 review The last of a dying breed  '],0,1,0
7,['This Samsung Galaxy Fold stunt filled me with hope and joy  '],0,0.599,0.401
8,['Samsung had to fix one thing with the Galaxy Watch Active2 '],0,1,0
9,['The Samsung Galaxy Fold finally goes on sale this week again '],0,1,0
10,['All the phone companies not named Apple and Samsung that you should care about '],0,0.814,0.186
11,['Samsung just released a smaller version of its famouslyhuge phone the Galaxy Note 10 Here are the differences be '],0,1,0
12,['Can you spot the upgrades on the new Samsung Galaxy Fold  '],0,1,0
13,['Samsung Galaxy Fold to launch in Korea on Sept 6 no official US release date listed yet  '],0.121,0.879,0
14,['Samsung is supposedly working on a much cooler folding phone  '],0,1,0
15,['Samsungs first Bixby speaker still isnt out but now theres a mini version '],0,1,0
16,['Samsung probably got a lot of wedgies in high school '],0,1,0
17,['One month with the improved Galaxy Fold and I actually still like it  '],0,0.663,0.337
18,['Hubble sees our galaxy sucking up a mysterious amount of gas  '],0,1,0
19,['Galaxy Note 10 Review A smaller Note makes for better handling '],0,0.775,0.225
20,['Galaxy Note 10 alternate internets and Bernies climate plan best Gizmodo stories of the week '],0,0.781,0.219
21,['The Galaxy Note 10 is damn near perfect '],0.201,0.522,0.276
22,['Should you buy the Galaxy Note 10  ']-,0,1,0
23,['Googles budget Chromebook might walk the fine line between high design and great value  '],0,0.591,0.409
24,['Could the Pixelbook Go be the best Chromebook of the year  '],0,0.724,0.276
25,['The Pixelbook Go is a smaller cheaper Googlemade Chromebook  '],0,1,0
26,['New Pixel phones buds Chromebook Nest products and Stadia pics flashed up on screen No watch madebygoogle '],0.115,0.885,0
27,,,,
