,0,1
0,[' RedmiNote8Pro  uses a 64 MP Samsung ISOCELL Bright GW1 sensor Catch all the live updates '],"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}"
1,['If youre interested in purchasing the  Galaxy Fold you can buy it from the official Samsung online s '],"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4019}"
2,['Samsung launches GalaxyA905G in Korea at a price of 899900 WON which roughly translates to Rs 53000 '],"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.6633}"
3,['Samsungs just launched GalaxyA90 brings 5G support and a topend Snapdragon 855 chipset along with a triple rear '],"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4939}"
4,[' s camera tests claim that Samsungs GalaxyNote10Plus shoots better photos than the HuaweiP30Pro'],"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}"
5,[' Samsung partnered with  so that gamers can communicate with their friends while playing multipl '],"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.5994}"
6,[' has captured a stunning image of a spiral galaxy NGC 3717 that resides in the Hydra constellation '],"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.3818}"
7,['AmazonGreatIndianFestival 2019 is live now From iPhonexr to Galaxynote9  here are the best deals that you will '],"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.6369}"
8,['From OnePlus7TPro iPhone11Pro  galaxynote10Plus and huaweip30pro  lets see which one is the Flagship King'],"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.1027}"
9,['From VivoV15Pro to GalaxyA50s here are the best smartphones under 25k to buy in October'],"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6369}"
10,['  GalaxyNote10Plus impresses with design but doesnt give enough of a reason to upgrade Read all '],"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.2617}"
11,['From Realme2pro to galaxym20  here are the best budgetfriendly smartphones under 10k that you can purchase this '],"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.6369}"
12,['TheBigBillionDays sale is now live From galaxys9 to Asus6Z to Pixel3a  here are the best deals on smartphones '],"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.6369}"
13,['The newly launched  GalaxyM30s has to compete in an increasingly crowded budget to midrange smartpho '],"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.128}"
14,[' The highlight of the GalaxyA30s is its 6000 mAh battery and a 48 MP triple camera setup '],"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.34}"
15,[' has launched two new Mseries smartphones in India today  galaxym30s and GalaxyM10s '],"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.128}"
16,['  had started acontest for what looked like the GalaxyA50s through its social media channels sugges '],"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}"
17,[' upcoming GalaxyA90 may come with 5G support and a 48 MP triple camera setup '],"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}"
18,[' has quietly launched the GalaxyA10s in India and it will be available for purchase starting tomorro '],"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.128}"
19,['The  GalaxyA50s and GalaxyA30s are slight upgrades over the Galaxy A50 and Galaxy A30 launched earlier'],"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.128}"
20,['avengers fan  s got your back Marvelthemed cases are coming to GalaxyNote10  '],"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.3182}"
21,['  With reverse charging the Galaxy Watch Active 2 can be charged with the Note 10 Its priced a '],"{'neg': 0.088, 'neu': 0.78, 'pos': 0.132, 'compound': 0.2263}"
22,['A new colour variant of the GalaxyNote10 series has leaked and its a gorgeous gradient of white blue purple and '],"{'neg': 0.095, 'neu': 0.741, 'pos': 0.165, 'compound': 0.4019}"
