,0,1
0,['Samsungs new Galaxy Book Flex and Ion laptops bring better designs to the lineup  '],"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
1,['Samsung announces more powerful Exynos processor without builtin 5G  '],"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.4754}"
2,['Samsung says fingerprint security fix is coming as early as next week  '],"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.34}"
3,['Samsung Galaxy Watch Active 2 review good is as good as it gets  '],"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.8176}"
4,['RT  Samsung Galaxy Tab S6 review master entertainer amateur worker '],"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}"
5,['Samsung Galaxy S10 gets DeX support and Note 10 camera features  '],"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}"
6,[' looks at whether the Galaxy Watch Active 2 will finally solve the problem of smartwatches for Android use '],"{'neg': 0.116, 'neu': 0.69, 'pos': 0.194, 'compound': 0.2023}"
7,['Chromebooks will more easily sideload Android apps with Chrome OS 80 in February  '],"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4005}"
8,['HPs new Chromebooks support the universal stylus standard  '],"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}"
9,['The best Chromebook you can buy right now '],"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}"
