,created_at,text,retweet_count,favorite_count,lang,Amount Cleansed (%),Frequency
0,Wed Nov 06 05:45:56 +0000 2019,"Pemandangan makan siang hari ini, with galaxy! @Samsung #SamsungS10 #DianDalamCerita ",0,0,in,88.9,"[('Pemandangan', 1), ('makan', 1), ('siang', 1), ('hari', 1), ('ini', 1)]"
1,Wed Nov 06 05:45:53 +0000 2019,"@chemixcalbieber gRR I can't find it, I don't think facebook for Samsung has it idk",0,0,en,89.2,"[('I', 2), ('chemixcalbieber', 1), ('gRR', 1), ('find', 1), ('think', 1)]"
2,Wed Nov 06 05:45:51 +0000 2019,Brace yourself for the price of the new Samsung foldable phone  via @newscomauHQ,0,0,en,89.3,"[('Brace', 1), ('price', 1), ('new', 1), ('Samsung', 1), ('foldable', 1)]"
3,Wed Nov 06 05:45:49 +0000 2019,"@TECNOMobile254 Tecno and Infinix shall NEVER be on my basket. If it's android, got to be Huawei or Samsung.",0,0,en,89.8,"[('TECNOMobile254', 1), ('Tecno', 1), ('Infinix', 1), ('shall', 1), ('NEVER', 1)]"
4,Wed Nov 06 05:45:48 +0000 2019,RT @SamsungIndia: @Vijayku27924990 You've just unlocked the power of creativity! Now shoot epic pictures and videos and edit on-the-go with…,1,0,en,90.0,"[('RT', 1), ('SamsungIndia', 1), ('Vijayku27924990', 1), ('You', 1), ('unlock', 1)]"
5,Wed Nov 06 05:45:43 +0000 2019,@SamsungIndia Love ♥️ Samsung.... Mobile's....😘😍,0,0,en,91.7,"[('SamsungIndia', 1), ('Love', 1), ('Samsung', 1), ('Mobile', 1)]"
6,Wed Nov 06 05:45:40 +0000 2019,Samsung Galaxy Note 10 Plus international giveaway @androidauth #giveaway ,0,0,en,87.6,"[('giveaway', 2), ('Samsung', 1), ('Galaxy', 1), ('Note', 1), ('10', 1)]"
7,Wed Nov 06 05:45:37 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
8,Wed Nov 06 05:45:36 +0000 2019,"Servicio De Liberaciones por IMEI iPhone,Android, Blackberry,Samsung, HTC,Huawei,LG,ZTE, Motorola,Sony 0412-0749119 ",0,0,de,85.6,"[('Servicio', 1), ('De', 1), ('Liberaciones', 1), ('por', 1), ('IMEI', 1)]"
9,Wed Nov 06 05:45:35 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
10,Wed Nov 06 05:45:26 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
11,Wed Nov 06 05:45:25 +0000 2019,"RT @newsplatter: Ada yg pake Samsung, terus pake Bluetooth headphone dengerin Spotify suka putus2? Udah lama gw punya masalah gini, kirain…",345,0,in,84.9,"[('pake', 2), ('RT', 1), ('newsplatter', 1), ('Ada', 1), ('yg', 1)]"
12,Wed Nov 06 05:45:17 +0000 2019,RT @Hk3ToN: #Wallpapers  #Background #android #Samsung  #Google #abstractart #Abstract #walls #Free #MacBook #MacBookPro #iMac #MSI #ASUS…,1,0,en,88.4,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('Background', 1), ('android', 1)]"
13,Wed Nov 06 05:45:12 +0000 2019,"D302 Black Friday Appliances Training in full effect with GE, Samsung and Bosh. Thank you to all who participated.… ",0,0,en,89.2,"[('D302', 1), ('Black', 1), ('Friday', 1), ('Appliances', 1), ('Training', 1)]"
14,Wed Nov 06 05:45:07 +0000 2019,Limited Period discount of 46% Applies if you buy now | Samsung 108 cm (43 Inches) Super 6 Series 4K UHD LED Smart… ,0,0,en,84.9,"[('Limited', 1), ('Period', 1), ('discount', 1), ('46', 1), ('Applies', 1)]"
15,Wed Nov 06 05:45:07 +0000 2019,Limited Period discount of 46% Applies if you buy now | Samsung 108 cm (43 Inches) Super 6 Series 4K UHD LED Smart… ,0,0,en,84.9,"[('Limited', 1), ('Period', 1), ('discount', 1), ('46', 1), ('Applies', 1)]"
16,Wed Nov 06 05:45:07 +0000 2019,Limited Period discount of 46% Applies if you buy now | Samsung 108 cm (43 Inches) Super 6 Series 4K UHD LED Smart… ,0,0,en,84.9,"[('Limited', 1), ('Period', 1), ('discount', 1), ('46', 1), ('Applies', 1)]"
17,Wed Nov 06 05:45:04 +0000 2019,Is Fitbit selling us out to Google? Sure feels that way. Read my analysis in usatodaytech. #wearables Apple Samsung… ,0,0,en,87.9,"[('Is', 1), ('Fitbit', 1), ('sell', 1), ('us', 1), ('Google', 1)]"
18,Wed Nov 06 05:45:04 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",3,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
19,Wed Nov 06 05:45:03 +0000 2019,The best Samsung Galaxy Note 10 Plus screen protectors 👀 @DigitalTrends #WhitestoneDomeGlass… ,0,0,en,87.9,"[('https', 2), ('co', 2), ('The', 1), ('best', 1), ('Samsung', 1)]"
20,Wed Nov 06 05:45:02 +0000 2019,"RT @olacokers: I sent this back to @SamsungMobileUS facility and they sent me a NEW Samsung Galaxy buds...

Your SINS are forgiven 😎😎 ",34,0,en,88.6,"[('send', 2), ('RT', 1), ('olacokers', 1), ('I', 1), ('back', 1)]"
21,Wed Nov 06 05:45:02 +0000 2019,"💎THE BEST PROTECTION FOR NOTE 10💎
+ works with Samsung's ultra sonic fingerprint!!

Get 10% off on your Dome Glass🔥… ",0,0,en,87.1,"[('10', 2), ('THE', 1), ('BEST', 1), ('PROTECTION', 1), ('FOR', 1)]"
22,Wed Nov 06 05:45:00 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",6,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
23,Wed Nov 06 05:44:57 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",3,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
24,Wed Nov 06 05:44:54 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",7,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
25,Wed Nov 06 05:44:53 +0000 2019,@SuperNES414 Don't give in to Apple. The only reason people like them is because they are already used to them and… ,0,1,en,90.6,"[('SuperNES414', 1), ('Don', 1), ('give', 1), ('Apple', 1), ('The', 1)]"
26,Wed Nov 06 05:44:49 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
