Date,Open,High,Low,Close,Adj Close,Volume
4/9/2015,29400,29780,29400,29660,287.633209,9107550
4/10/2015,29600,29880,29560,29800,288.990875,9960100
4/13/2015,29580,29820,29360,29580,286.857361,10293300
4/14/2015,29700,29700,29300,29480,285.887604,9429750
4/15/2015,29200,29400,28540,28920,280.45697,13551050
4/16/2015,29240,29540,28940,29540,286.469482,10762350
4/17/2015,29540,29560,28940,29000,281.232727,10172300
4/20/2015,28920,28960,28460,28600,277.353668,12394900
4/21/2015,28420,28900,28400,28880,280.069031,11852650
4/22/2015,28880,29460,28720,29220,283.366241,12655550
4/23/2015,29400,29400,28800,29020,281.426697,9245150
4/24/2015,28980,29100,28000,28200,273.474609,19089900
4/27/2015,28200,28220,27500,27900,270.565308,16517150
4/28/2015,27800,28000,27180,27320,264.940643,15697300
4/29/2015,27340,27880,27280,27700,268.625732,10895650
4/30/2015,27700,28360,27580,28200,273.474609,18352850
5/4/2015,28140,28460,27940,28000,271.535034,8283700
5/6/2015,27800,27820,27120,27240,264.164825,13270500
5/7/2015,27240,27500,27080,27400,265.716461,10257400
5/8/2015,27320,27400,26760,26760,259.509918,9488100
5/11/2015,27200,27200,26720,26720,259.12204,9640450
5/12/2015,26900,27060,26480,26620,258.152252,10633200
5/13/2015,26980,26980,26520,26660,258.540161,9877250
5/14/2015,26820,26860,26560,26800,259.897827,8488500
5/15/2015,27100,27120,26420,26520,257.182495,8922350
5/18/2015,26700,26700,26180,26400,256.018768,9626850
5/19/2015,26420,27100,26140,26760,259.509918,8680900
5/20/2015,26980,27400,26820,27320,264.940643,10291450
5/21/2015,27420,27440,26880,27040,262.225281,7210600
5/22/2015,27060,27060,26700,27000,261.837372,8195800
5/26/2015,27320,27380,26720,27240,264.164825,10034150
5/27/2015,27200,27320,26260,26280,254.855087,17265450
5/28/2015,26340,26420,26020,26180,253.8853,15048150
5/29/2015,26400,26420,25940,26140,253.497406,17380750
6/1/2015,26000,26020,25760,25820,250.394119,10921950
6/2/2015,26000,26060,25760,26060,252.721558,8757550
6/3/2015,26060,26320,25300,25460,246.902939,11769400
6/4/2015,26300,26820,26100,26740,259.31601,19411950
6/5/2015,26500,27100,26400,26820,260.091827,9828150
6/8/2015,26900,26940,26260,26280,254.855087,10118950
6/9/2015,26000,26200,25360,25640,248.64856,13735250
