,date,open,high,low,close,adj_close,volume,Stockname,Open_USD,High_USD,Low_USD,Close_USD,Adj_Close_USD
791,7/2/2018,46500,47150,45500,45550,44792.49609,13112253,samsungtech15-19,41.50824085,42.08846357,40.61559051,40.66022303,39.9840369
792,7/3/2018,45750,46450,45750,46150,45382.51563,10959655,samsungtech15-19,41.11286371,41.74191299,41.11286371,41.47232044,40.78262689
793,7/4/2018,46700,47050,46050,46250,45480.85156,8776763,samsungtech15-19,41.78307716,42.09622656,41.20151399,41.3804565,40.69228972
794,7/5/2018,46100,46550,45600,45950,45185.83984,7039773,samsungtech15-19,41.23391237,41.6364126,40.78668989,41.09974562,40.41624642
795,7/6/2018,45500,45850,44650,44900,44153.30469,17843706,samsungtech15-19,40.69218564,41.00520245,39.93200195,40.15558539,39.48779057
796,7/9/2018,45500,46100,45200,45600,44841.66016,11602464,samsungtech15-19,40.95027789,41.49028155,40.68027606,41.0402785,40.35776801
797,7/10/2018,46200,46550,46100,46300,45530.01953,10528665,samsungtech15-19,41.35168841,41.66495877,41.26218259,41.44119423,40.7520169
798,7/11/2018,46400,46450,45400,46000,45235.01172,11224077,samsungtech15-19,41.29190776,41.33640335,40.40199595,40.93594303,40.25517093
799,7/12/2018,45900,46250,45450,45500,44743.32813,11828104,samsungtech15-19,40.76907019,41.07994545,40.36937342,40.41378417,39.74169684
800,7/13/2018,45800,46500,45750,46500,45726.69531,11543389,samsungtech15-19,40.4068652,41.02443737,40.3627529,41.02443737,40.34219243
801,7/16/2018,46800,46800,46000,46050,45284.17969,7678719,samsungtech15-19,41.5234721,41.5234721,40.81366916,40.85803184,40.17855495
802,7/17/2018,46150,46200,45600,45850,45087.50781,8892953,samsungtech15-19,40.93852909,40.98288286,40.45063763,40.67240648,39.99601842
803,7/18/2018,46700,47200,46450,46550,45775.86328,10952645,samsungtech15-19,41.17375887,41.6145914,40.9533426,41.0415091,40.3589798
804,7/19/2018,47050,47200,46600,46900,46120.04297,9880128,samsungtech15-19,41.28293001,41.41454402,40.88808795,41.15131599,40.4669608
805,7/20/2018,47000,47600,46700,47450,46660.89844,10474547,samsungtech15-19,41.46713943,41.99650717,41.20245556,41.86416524,41.16795706
806,7/23/2018,47100,47200,46150,46500,45726.69531,10823782,samsungtech15-19,41.52327778,41.6114376,40.68575943,40.99431882,40.31257476
807,7/24/2018,46350,46600,45950,46150,45382.51563,8261363,samsungtech15-19,41.07757126,41.29913313,40.72307226,40.90032176,40.22014066
808,7/25/2018,46250,46550,45900,46150,45382.51563,7222471,samsungtech15-19,41.19427492,41.46148102,40.88253446,41.10520621,40.42161784
809,7/26/2018,46100,47000,46000,46900,46120.04297,7374946,samsungtech15-19,41.17238646,41.97618576,41.08307542,41.88687472,41.19028704
810,7/27/2018,46450,47000,46450,46900,46120.04297,4762460,samsungtech15-19,41.53126875,42.02302758,41.53126875,41.93361688,41.23625187
811,7/30/2018,46550,46800,46350,46500,45726.69531,5723035,samsungtech15-19,41.64581658,41.86947833,41.46688719,41.60108423,40.90924953
812,7/31/2018,46200,46450,46000,46250,45480.85156,8033607,samsungtech15-19,41.30159431,41.52508779,41.12279953,41.34629301,40.65869438
813,8/1/2018,46050,46850,46050,46550,45775.86328,7484499,samsungtech15-19,41.19632859,41.91200857,41.19632859,41.64362858,40.95108589
814,8/2/2018,46550,46800,45500,45550,44792.49609,8560924,samsungtech15-19,41.19472165,41.41596075,40.2655174,40.30976522,39.63940727
815,8/3/2018,45850,45900,45450,45750,44989.16797,8274944,samsungtech15-19,40.7721315,40.81659402,40.41643133,40.68320646,40.00663626
816,8/6/2018,46150,46150,45750,45800,45038.33594,6771979,samsungtech15-19,41.00067346,41.00067346,40.64530467,40.68972577,40.01304669
817,8/7/2018,46300,46750,45900,46700,45923.37109,9058174,samsungtech15-19,41.34100372,41.74280613,40.98384602,41.69816142,41.00471393
818,8/8/2018,47000,47000,46550,46800,46021.70703,6429338,samsungtech15-19,41.94450862,41.94450862,41.54291226,41.76602135,41.07144441
819,8/9/2018,47000,47050,46450,46900,46120.04297,12010886,samsungtech15-19,41.97676479,42.02142092,41.48554733,41.88745252,41.19085523
820,8/10/2018,46150,46400,44850,45400,44644.98828,16670643,samsungtech15-19,40.87190191,41.09330983,39.72058073,40.20767815,39.53901586
821,8/13/2018,44950,45100,44650,45050,44300.80859,9803831,samsungtech15-19,39.59650282,39.72863798,39.3322325,39.68459292,39.02462941
822,8/14/2018,44850,45400,44850,45150,44399.14844,6409259,samsungtech15-19,39.76053941,40.24812685,39.76053941,40.02649619,39.3608493
823,8/16/2018,43800,44650,43700,44250,43514.11719,10088229,samsungtech15-19,38.76860559,39.52096438,38.68009279,39.16691318,38.51556272
824,8/17/2018,44050,44400,44050,44100,43366.60938,6808747,samsungtech15-19,39.1283044,39.43919899,39.1283044,39.17271792,38.52126885
825,8/20/2018,43500,44200,43500,43850,43120.76563,7289124,samsungtech15-19,38.75898228,39.38269004,38.75898228,39.07083616,38.42108025
826,8/21/2018,43700,44900,43700,44800,44054.96875,9520270,samsungtech15-19,39.03100661,40.10279626,39.03100661,40.01348046,39.3480498
827,8/22/2018,45150,46200,44900,46100,45333.34766,11641656,samsungtech15-19,40.37587282,41.31484661,40.15230763,41.22542053,40.53983344
828,8/23/2018,46150,46200,45700,46200,45431.6875,6730918,samsungtech15-19,41.11335641,41.1578996,40.71246778,41.1578996,40.47343794
829,8/24/2018,45900,46400,45550,46150,45382.51563,6582535,samsungtech15-19,41.15483477,41.60314451,40.84101794,41.37898964,40.69084819
830,8/27/2018,46100,46550,46000,46300,45530.01953,5263782,samsungtech15-19,41.4305591,41.83497887,41.34068804,41.61030122,40.9183116
831,8/28/2018,46800,46950,46300,46550,45775.86328,7365976,samsungtech15-19,42.32955116,42.4652228,41.87731237,42.10343176,41.40324245
832,8/29/2018,46750,46800,46400,46800,46021.70703,5572374,samsungtech15-19,41.95471303,41.99958438,41.64061358,41.99958438,41.30112324
833,8/30/2018,46950,47950,46700,47650,46857.57031,12193231,samsungtech15-19,42.30649002,43.20758672,42.08121585,42.93725771,42.22320193
834,8/31/2018,47100,48450,47000,48450,47644.26953,13577454,samsungtech15-19,42.15054036,43.35867687,42.06104877,43.35867687,42.63761583
835,9/3/2018,48200,48300,47300,47450,46660.89844,8595084,samsungtech15-19,43.34132173,43.43124148,42.53204393,42.66692357,41.95736538
836,9/4/2018,47550,47800,47200,47650,46857.57031,6791255,samsungtech15-19,42.5478164,42.7715168,42.23463583,42.63729656,41.9282292
837,9/5/2018,47300,47450,46400,46600,45825.03125,9139998,samsungtech15-19,42.14876707,42.28243124,41.34678207,41.52500096,40.83443062
838,9/6/2018,46200,46400,45800,46100,45333.34766,9040553,samsungtech15-19,41.1946105,41.37294215,40.83794721,41.10544468,40.42185281
839,9/7/2018,44500,45200,44400,44900,44153.30469,18285508,samsungtech15-19,39.63495058,40.25842171,39.54588327,39.9912198,39.32615841
840,9/10/2018,45450,45550,45000,45500,44743.32813,9979838,samsungtech15-19,40.25304059,40.34160614,39.85449563,40.29732336,39.62717279
841,9/11/2018,45550,45900,45050,45050,44300.80859,9865790,samsungtech15-19,40.36287841,40.67302127,39.91981717,39.91981717,39.25594183
842,9/12/2018,44900,45100,44500,44550,43809.125,12995269,samsungtech15-19,39.78724462,39.96447065,39.43279255,39.47709906,38.82058737
843,9/13/2018,44550,44750,44000,44050,43317.4375,18277942,samsungtech15-19,39.73282267,39.91119673,39.24229399,39.28688751,38.63353676
844,9/14/2018,45000,45850,44900,45850,45087.50781,12446344,samsungtech15-19,40.21660181,40.97624873,40.12723158,40.97624873,40.29480773
845,9/17/2018,45550,45800,44900,45150,44399.14844,8123384,samsungtech15-19,40.49004532,40.71227389,39.91225104,40.13447961,39.46703694
846,9/18/2018,44950,45900,44700,45500,44743.32813,9987090,samsungtech15-19,39.97993704,40.82489678,39.75757921,40.46912426,39.79611661
847,9/19/2018,46000,46200,45700,46150,45382.51563,9367454,samsungtech15-19,41.0069073,41.1851982,40.73947095,41.14062548,40.45644808
848,9/20/2018,46850,47600,46400,47250,46464.22266,13536966,samsungtech15-19,41.87826784,42.54867767,41.47602193,42.23581975,41.53342927
849,9/21/2018,46550,47550,46550,47400,46611.73047,14476906,samsungtech15-19,41.70779552,42.60377394,41.70779552,42.46937718,41.76310469
850,9/27/2018,46950,47500,46450,47500,47061.53906,15804586,samsungtech15-19,42.22117113,42.71577484,41.77153139,42.71577484,42.32147592
851,9/28/2018,47250,47250,46300,46450,46021.23047,11270515,samsungtech15-19,42.54061832,42.54061832,41.6853043,41.82035388,41.43431957
852,10/1/2018,46450,46800,45800,46350,45922.15234,6354983,samsungtech15-19,41.78541421,42.10026663,41.20068829,41.69545638,41.31057389
853,10/2/2018,46450,46700,45700,45700,45278.15234,6607188,samsungtech15-19,41.54700043,41.77061185,40.8761662,40.8761662,40.49884639
854,10/4/2018,45150,45600,44700,44700,44287.38281,11865327,samsungtech15-19,40.00056229,40.39923899,39.60188559,39.60188559,39.23632812
855,10/5/2018,44800,45500,44550,44700,44287.38281,10544165,samsungtech15-19,39.70520089,40.32559465,39.48363169,39.61657321,39.25088016
856,10/8/2018,44200,45200,44200,44950,44535.07422,6759464,samsungtech15-19,38.88253102,39.76222629,38.88253102,39.54230247,39.17729423
857,10/10/2018,45250,45500,44500,45300,44881.84375,10341349,samsungtech15-19,39.79162684,40.01147008,39.13209711,39.83559549,39.46788019
858,10/11/2018,44000,44650,43100,43100,42702.15234,19324537,samsungtech15-19,38.56288332,39.13256228,37.77409707,37.77409707,37.42541178
859,10/12/2018,43200,44650,43200,44000,43593.84375,12640906,samsungtech15-19,38.190434,39.47228884,38.190434,38.89766426,38.53860677
860,10/15/2018,44050,44050,43350,43800,43395.69141,7434522,samsungtech15-19,39.01339467,39.01339467,38.39343153,38.79197926,38.43389866
861,10/16/2018,43700,44150,43350,43600,43197.53906,6825677,samsungtech15-19,38.89270462,39.29320158,38.58120699,38.8037053,38.44551778
862,10/17/2018,44150,44500,44000,44150,43742.46094,8306193,samsungtech15-19,39.17332318,39.48387047,39.04023148,39.17332318,38.81172274
863,10/18/2018,43950,44450,43700,44050,43643.38281,8347725,samsungtech15-19,38.70075772,39.14103938,38.48061689,38.78881405,38.43076187
864,10/19/2018,43900,44150,43450,43900,43494.76953,7842520,samsungtech15-19,38.84955752,39.07079646,38.45132743,38.84955752,38.49094649
865,10/22/2018,43450,43950,43200,43550,43148,8357648,samsungtech15-19,38.39433404,38.83615606,38.17342303,38.48269844,38.12747353
866,10/23/2018,43300,43450,42550,43050,42652.61328,9531231,samsungtech15-19,38.06046822,38.19231741,37.40122223,37.84071955,37.49141875
867,10/24/2018,43050,43100,42250,42550,42157.23047,13522825,samsungtech15-19,37.97362429,38.01772838,37.2679588,37.53258336,37.18612848
868,10/25/2018,40600,41550,40550,41000,40621.53906,19338170,samsungtech15-19,35.75205184,36.58861463,35.70802222,36.1042888,35.77101897
869,10/26/2018,41100,41300,40400,41000,40621.53906,14413864,samsungtech15-19,35.91849233,36.09327818,35.30674185,35.8310994,35.50035132
870,10/29/2018,40850,41950,40550,41400,41017.84375,14460521,samsungtech15-19,35.83565345,36.8006282,35.57247851,36.31814083,35.98289434
871,10/30/2018,41400,43000,41000,42350,41959.07422,14205190,samsungtech15-19,36.32974512,37.73379324,35.97873309,37.16339869,36.82034956
872,10/31/2018,42900,43350,41700,42400,42008.61328,17621480,samsungtech15-19,37.60686237,38.00133994,36.55492216,37.16855395,36.82545776
873,11/1/2018,42450,42950,42150,42150,41760.92188,13423132,samsungtech15-19,37.61630629,38.05937233,37.35046667,37.35046667,37.00569207
874,11/2/2018,43050,44250,42800,44150,43742.46094,16517112,samsungtech15-19,38.51140842,39.58489716,38.28776494,39.49543976,39.13086594
875,11/5/2018,43750,43800,42900,43800,43395.69141,9426777,samsungtech15-19,38.90272705,38.94718731,38.14690264,38.94718731,38.58767402
876,11/6/2018,43750,43800,42950,43750,43346.15234,7713625,samsungtech15-19,39.03310173,39.07771098,38.31935358,39.03310173,38.67279483
877,11/7/2018,43600,44500,43400,44000,43593.84375,11553998,samsungtech15-19,38.93746939,39.74122449,38.75885714,39.29469388,38.93197148
878,11/8/2018,44900,45050,44050,44050,43643.38281,12617397,samsungtech15-19,40.20265229,40.33695959,39.44157758,39.44157758,39.07749986
